,MODELTYPE,MILEAGE,COMPANY,FIRSTDAY,REPAIRDAY,CARNAME,PART,SEVERITY,HQ,PRICE
0,기본형,67219,FORD,20150101,20180507,포드,앞범퍼(스틸형)하단,교환,1.24,40920
0,기본형,67219,FORD,20150101,20180507,포드,앞범퍼,교환,3.01,99330
0,기본형,67219,FORD,20150101,20180507,포드,헤드램프(좌),탈착,0.42,13860
0,기본형,67219,FORD,20150101,20180507,포드,헤드램프(우),탈착,0.42,13860
0,기본형,67219,FORD,20150101,20180507,포드,앞패널,판금,2.5,82500
0,기본형,67219,FORD,20150101,20180507,포드,앞휀다(좌),판금,1.5,49500
0,기본형,67219,FORD,20150101,20180507,포드,앞사이드멤버(좌),판금,3.5,115500
0,기본형,67219,FORD,20150101,20180507,포드,앞사이드멤버(우),판금,3.5,115500
0,기본형,67219,FORD,20150101,20180507,포드,인터쿨러 ,교환,1.8,59400
0,기본형,67219,FORD,20150101,20180507,포드,앞범퍼(신품)수용성,도장,100.0,290000
0,기본형,67219,FORD,20150101,20180507,포드,앞휀다(좌)(보수)수용성,도장,100.0,307000
0,기본형,67219,FORD,20150101,20180507,포드,앞사이드멤버(좌)(보수),도장,100.0,127000
0,기본형,67219,FORD,20150101,20180507,포드,앞사이드멤버(우)(보수),도장,100.0,127000
0,520d,110718,BMW,20141119,20180512,BMW 5시리즈,뒤범퍼(단독작업),탈착,1.68,55440
0,520d,110718,BMW,20141119,20180512,BMW 5시리즈,뒤범퍼(단독작업),오버홀,2.24,73920
0,520d,110718,BMW,20141119,20180512,BMW 5시리즈,뒤범퍼(단독작업),수리,9.0,297000
0,520d,110718,BMW,20141119,20180512,BMW 5시리즈,"뒤범퍼 신품가 839,718",,1.0,0
0,520d,110718,BMW,20141119,20180512,BMW 5시리즈,컴비네이션램프(좌),탈착,0.35,11550
0,520d,110718,BMW,20141119,20180512,BMW 5시리즈,컴비네이션램프(우),탈착,0.35,11550
0,520d,110718,BMW,20141119,20180512,BMW 5시리즈,뒤범퍼 레일 그린수가 50%청구,판금,6.8,224400
0,520d,110718,BMW,20141119,20180512,BMW 5시리즈,"뒤범퍼 레일 신품가 449,460",,1.0,0
0,520d,110718,BMW,20141119,20180512,BMW 5시리즈,백패널,판금,1.5,49500
0,520d,110718,BMW,20141119,20180512,BMW 5시리즈,뒤범퍼(보수) 수용성,도장,100.0,388000
0,520d,110718,BMW,20141119,20180512,BMW 5시리즈,백패널(보수) 수용성,도장,100.0,254000
0,520d,110718,BMW,20141119,20180512,BMW 5시리즈,유리막 재시공,도장,,150000
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,앞범퍼,탈착,1.68,55440
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,앞휠하우스(우),판금,2.5,82500
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,앞범퍼,오버홀,2.24,73920
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,앞범퍼,수리,4.0,132000
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,라디에터그릴,탈착,0.42,13860
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,주차센서 및 배선,탈착,0.8,26400
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,앞패널,판금,2.5,82500
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,헤드램프(좌),탈착,0.42,13860
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,헤드램프(우),탈착,0.42,13860
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,헤드램프(우),수리,4.2,138600
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,본네트,판금,2.5,82500
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,앞휀다(우),판금,2.5,82500
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,프론트서스팬션ASS'Y(우),교환,3.15,103950
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,등속조인트고무(우),교환,0.98,32340
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,"프론트쇽업쇼버(킷트교환시,",오버홀,1.05,34650
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,"도어(앞우,자동문)(일체힌지",판금,1.5,49500
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,"도어(앞우,자동문)(일체힌지",오버홀,2.66,87780
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,허브(앞우),오버홀,1.05,34650
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,앞범퍼(보수),도장,100.0,360000
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,본네트(보수),도장,100.0,476000
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,앞휀다(우)(보수),도장,100.0,307000
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,"도어(앞우)(보수,5Dr)",도장,100.0,417000
0,기본형,14947,CITROEN,20170101,20180518,씨트로엥,앞휠하우스(우)(보수),도장,100.0,127000
0,기본형,25525,BMW,20170830,20180504,BMW 520D,앞범퍼,탈착,1.68,53760
0,기본형,25525,BMW,20170830,20180504,BMW 520D,앞범퍼,오버홀,2.24,71680
0,기본형,25525,BMW,20170830,20180504,BMW 520D,라디에터그릴 좌,탈착,0.42,13440
0,기본형,25525,BMW,20170830,20180504,BMW 520D,라디에터그릴 우,탈착,0.42,13440
0,기본형,25525,BMW,20170830,20180504,BMW 520D,앞범퍼 그린수가 50%청구,수리,15.63,500160
